nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6
6,0,0,0,0,543,528,0,0,0,0
7,0,0,0,0,541,527,0,0,0,0
8,0,0,0,0,539,526,0,0,0,0
9,0,0,0,0,538,526,0,0,0,0
10,0,0,0,0,536,524,0,0,0,0
11,0,0,0,0,535,524,0,0,0,0
12,0,0,0,0,533,525,0,0,0,0
13,0,0,0,0,531,524,0,0,0,0
14,0,0,0,0,530,525,0,0,0,0
15,0,0,0,0,528,525,0,0,0,0
0,0,0,0,0,527,525,0,0,0,0
1,0,0,0,0,526,525,0,0,0,0
2,0,0,0,0,524,525,0,0,0,0
3,0,0,0,0,523,525,0,0,0,0
4,0,0,0,0,521,525,0,0,0,0
5,0,0,0,0,519,524,0,0,0,0
6,0,0,0,0,518,523,0,0,0,0
7,0,0,0,0,517,522,0,0,0,0
8,0,0,0,0,515,522,0,0,0,0
9,0,0,0,0,513,522,0,0,0,0
10,0,0,0,0,512,522,0,0,0,0
11,0,0,0,0,511,522,0,0,0,0
12,0,0,0,0,510,522,0,0,0,0
13,0,0,0,0,508,523,0,0,0,0
14,0,0,0,0,506,523,0,0,0,0
15,0,0,0,0,504,523,0,0,0,0
0,0,0,0,0,503,523,0,0,0,0
1,0,0,0,0,501,523,0,0,0,0
2,0,0,0,0,499,524,0,0,0,0
3,0,0,0,0,498,524,0,0,0,0
4,0,0,0,0,496,524,0,0,0,0
5,0,0,0,0,494,523,0,0,0,0
6,0,0,0,0,492,523,0,0,0,0
7,0,0,0,0,491,523,0,0,0,0
8,0,0,0,0,489,522,0,0,0,0
9,0,0,0,0,488,521,0,0,0,0
10,0,0,0,0,486,521,0,0,0,0
11,0,0,0,0,485,521,0,0,0,0
12,0,0,0,0,483,520,0,0,0,0
13,0,0,0,0,482,519,0,0,0,0
14,0,0,0,0,480,519,0,0,0,0
15,0,0,0,0,478,519,0,0,0,0
0,0,0,0,0,476,519,0,0,0,0
1,0,0,0,0,475,519,0,0,0,0
2,0,0,0,0,474,519,0,0,0,0
3,0,0,0,0,473,519,0,0,0,0
4,0,0,0,0,472,519,0,0,0,0
5,0,0,0,0,470,518,0,0,0,0
6,0,0,0,0,468,518,0,0,0,0
7,0,0,0,0,467,517,0,0,0,0
8,0,0,0,0,466,518,0,0,0,0
9,0,0,0,0,464,518,0,0,0,0
10,0,0,0,0,463,518,0,0,0,0
11,0,0,0,0,462,517,0,0,0,0
12,0,0,0,0,460,517,0,0,0,0
13,0,0,0,0,459,517,0,0,0,0
14,0,0,0,0,458,517,0,0,0,0
15,0,0,0,0,457,516,0,0,0,0
0,0,0,0,0,456,516,0,0,0,0
1,0,0,0,0,455,515,0,0,0,0
2,0,0,0,0,454,515,0,0,0,0
3,0,0,0,0,453,515,0,0,0,0
4,0,0,0,0,452,514,0,0,0,0
5,0,0,0,0,452,513,0,0,0,0
6,0,0,0,0,451,512,0,0,0,0
7,0,0,0,0,449,512,0,0,0,0
8,0,0,0,0,449,512,0,0,0,0
9,0,0,0,0,448,513,0,0,0,0
10,0,0,0,0,448,514,0,0,0,0
11,0,0,0,0,447,514,0,0,0,0
12,0,0,0,0,446,514,0,0,0,0
13,0,0,0,0,446,514,0,0,0,0
14,0,0,0,0,445,513,0,0,0,0
15,0,0,0,0,444,513,0,0,0,0
0,0,0,0,0,444,513,0,0,0,0
1,0,0,0,0,443,512,0,0,0,0
2,0,0,0,0,442,511,0,0,0,0
3,0,0,0,0,442,510,0,0,0,0
4,0,0,0,0,442,510,0,0,0,0
5,0,0,0,0,440,510,0,0,0,0
6,0,0,0,0,441,511,0,0,0,0
7,0,0,0,0,440,511,0,0,0,0
8,0,0,0,0,440,511,0,0,0,0
9,0,0,0,0,440,512,0,0,0,0
10,0,0,0,0,440,513,0,0,0,0
11,0,0,0,0,440,513,0,0,0,0
12,0,0,0,0,440,513,0,0,0,0
13,0,0,0,0,439,513,0,0,0,0
14,0,0,0,0,440,514,0,0,0,0
15,0,0,0,0,438,514,0,0,0,0
0,0,0,0,0,438,514,0,0,0,0
1,0,0,0,0,438,513,0,0,0,0
2,0,0,0,0,438,513,0,0,0,0
3,0,0,0,0,438,513,0,0,0,0
4,0,0,0,0,437,512,0,0,0,0
5,0,0,0,0,437,511,0,0,0,0
6,0,0,0,0,437,510,0,0,0,0
7,0,0,0,0,436,510,0,0,0,0
8,0,0,0,0,436,510,0,0,0,0
9,0,0,0,0,437,509,0,0,0,0
10,0,0,0,0,436,509,0,0,0,0
11,0,0,0,0,436,509,0,0,0,0
12,0,0,0,0,437,509,0,0,0,0
13,0,0,0,0,437,509,0,0,0,0
14,0,0,0,0,436,510,0,0,0,0
15,0,0,0,0,437,510,0,0,0,0
0,0,0,0,0,437,510,0,0,0,0
1,0,0,0,0,437,510,0,0,0,0
2,0,0,0,0,438,510,0,0,0,0
3,0,0,0,0,438,510,0,0,0,0
4,0,0,0,0,437,510,0,0,0,0
5,0,0,0,0,437,509,0,0,0,0
6,0,0,0,0,437,508,0,0,0,0
7,0,0,0,0,438,508,0,0,0,0
8,0,0,0,0,438,508,0,0,0,0
9,0,0,0,0,438,508,0,0,0,0
10,0,0,0,0,438,507,0,0,0,0
11,0,0,0,0,438,507,0,0,0,0
12,0,0,0,0,439,506,0,0,0,0
13,0,0,0,0,439,506,0,0,0,0
14,0,0,0,0,439,506,0,0,0,0
15,0,0,0,0,439,506,0,0,0,0
0,0,0,0,0,439,505,0,0,0,0
1,0,0,0,0,440,505,0,0,0,0
2,0,0,0,0,440,505,0,0,0,0
3,0,0,0,0,440,504,0,0,0,0
4,0,0,0,0,440,505,0,0,0,0
5,0,0,0,0,440,505,0,0,0,0
6,0,0,0,0,440,505,0,0,0,0
7,0,0,0,0,440,504,0,0,0,0
8,0,0,0,0,441,504,0,0,0,0
9,0,0,0,0,441,505,0,0,0,0
10,0,0,0,0,441,504,0,0,0,0
11,0,0,0,0,442,505,0,0,0,0
12,0,0,0,0,441,504,0,0,0,0
13,0,0,0,0,441,504,0,0,0,0
14,0,0,0,0,442,503,0,0,0,0
15,0,0,0,0,442,504,0,0,0,0
0,0,0,0,0,442,504,0,0,0,0
1,0,0,0,0,442,503,0,0,0,0
2,0,0,0,0,442,503,0,0,0,0
3,0,0,0,0,442,502,0,0,0,0
4,0,0,0,0,442,503,0,0,0,0
5,0,0,0,0,442,504,0,0,0,0
6,0,0,0,0,442,506,0,0,0,0
7,0,0,0,0,441,508,0,0,0,0
8,0,0,0,0,441,508,0,0,0,0
9,0,0,0,0,441,508,0,0,0,0
10,0,0,0,0,441,508,0,0,0,0
11,0,0,0,0,440,508,0,0,0,0
12,0,0,0,0,440,508,0,0,0,0
13,0,0,0,0,440,507,0,0,0,0
14,0,0,0,0,440,506,0,0,0,0
15,0,0,0,0,440,506,0,0,0,0
0,0,0,0,0,439,505,0,0,0,0
1,0,0,0,0,439,504,0,0,0,0
2,0,0,0,0,438,504,0,0,0,0
3,0,0,0,0,438,504,0,0,0,0
4,0,0,0,0,438,504,0,0,0,0
5,0,0,0,0,438,505,0,0,0,0
6,0,0,0,0,437,505,0,0,0,0
7,0,0,0,0,437,506,0,0,0,0
8,0,0,0,0,437,505,0,0,0,0
9,0,0,0,0,437,505,0,0,0,0
10,0,0,0,0,437,505,0,0,0,0
11,0,0,0,0,436,506,0,0,0,0
12,0,0,0,0,436,507,0,0,0,0
13,0,0,0,0,437,507,0,0,0,0
14,0,0,0,0,436,506,0,0,0,0
15,0,0,0,0,436,506,0,0,0,0
0,0,0,0,0,436,506,0,0,0,0
1,0,0,0,0,435,506,0,0,0,0
2,0,0,0,0,435,506,0,0,0,0
3,0,0,0,0,435,507,0,0,0,0
4,0,0,0,0,435,507,0,0,0,0
5,0,0,0,0,434,507,0,0,0,0
6,0,0,0,0,433,506,0,0,0,0
7,0,0,0,0,434,505,0,0,0,0
8,0,0,0,0,433,505,0,0,0,0
9,0,0,0,0,433,507,0,0,0,0
10,0,0,0,0,433,507,0,0,0,0
11,0,0,0,0,433,507,0,0,0,0
12,0,0,0,0,433,507,0,0,0,0
13,0,0,0,0,433,508,0,0,0,0
14,0,0,0,0,433,509,0,0,0,0
15,0,0,0,0,432,509,0,0,0,0
0,0,0,0,0,433,508,0,0,0,0
1,0,0,0,0,433,508,0,0,0,0
2,0,0,0,0,432,508,0,0,0,0
3,0,0,0,0,432,507,0,0,0,0
4,0,0,0,0,432,507,0,0,0,0
5,0,0,0,0,432,506,0,0,0,0
6,0,0,0,0,431,506,0,0,0,0
7,0,0,0,0,431,505,0,0,0,0
8,0,0,0,0,432,504,0,0,0,0
9,0,0,0,0,432,504,0,0,0,0
10,0,0,0,0,431,504,0,0,0,0
11,0,0,0,0,431,504,0,0,0,0
12,0,0,0,0,431,504,0,0,0,0
13,0,0,0,0,432,504,0,0,0,0
14,0,0,0,0,432,505,0,0,0,0
15,0,0,0,0,432,505,0,0,0,0
0,0,0,0,0,432,506,0,0,0,0
1,0,0,0,0,431,507,0,0,0,0
2,0,0,0,0,432,506,0,0,0,0
3,0,0,0,0,432,506,0,0,0,0
4,0,0,0,0,431,507,0,0,0,0
5,0,0,0,0,431,507,0,0,0,0
6,0,0,0,0,432,507,0,0,0,0
7,0,0,0,0,432,508,0,0,0,0
8,0,0,0,0,431,508,0,0,0,0
9,0,0,0,0,432,508,0,0,0,0
10,0,0,0,0,431,507,0,0,0,0
11,0,0,0,0,432,508,0,0,0,0
12,0,0,0,0,432,508,0,0,0,0
13,0,0,0,0,432,509,0,0,0,0
14,0,0,0,0,432,510,0,0,0,0
